,views
2063,1743987
777,2434842
502,1072435
2129,888896
2414,656113
1698,1798578
2005,1526242
2046,1487112
1843,1919991
1224,1050633
349,2634359
1836,1738331
1056,418651
635,1616851
1346,4191678
2026,1440785
318,900005
1563,2296874
543,652315
355,942604
2114,1173235
2317,967472
493,1431255
2351,1079698
1913,1780746
723,1231423
180,1854024
2117,811599
244,680591
166,832668
1298,1003863
2252,1422701
392,1280829
1244,1030762
1470,14566463
2136,1320671
940,576592
1058,293342
85,1115081
746,1882742
1180,6141140
1315,19787465
2070,1360404
1588,931677
912,983929
1387,2735769
1533,1511694
1586,1304017
1786,1545629
981,121186
380,1442990
1726,1940683
2326,872015
1038,642142
509,411183
1091,181010
21,6141440
1765,1003222
1725,1292110
187,1359400
1014,66668
1917,2312512
393,554650
170,4364865
1956,1158020
1371,911601
74,660909
1353,1939539
1158,765840
2209,877915
9,3095993
10,1211416
2027,1406128
2170,1162011
826,1612925
1238,693628
1891,1531675
1636,1785193
284,513090
1641,1378298
616,34309432
1394,2206204
1788,1266639
2356,1264166
2314,1077662
1149,174326
2339,4642478
2111,2028383
2158,811955
1440,1207550
473,891314
139,722877
2302,1405468
1497,734171
1189,850833
1250,943919
2166,1226441
191,545664
1330,595537
2354,946815
1256,539219
55,1090180
482,436147
43,5364639
1507,1644420
2028,761052
320,487378
1341,1403668
2261,1369939
754,4241096
1041,3119947
2418,857850
430,843719
209,311741
2018,1059854
1437,1772635
1893,1175629
2039,1546530
207,294936
237,838799
1003,2370111
2279,952784
345,1013266
962,1033748
1663,1013296
2040,1260939
1697,812963
1364,1342712
1549,8879917
457,572392
1199,687263
300,197139
1723,773801
459,776516
942,1426518
2155,645572
1575,1227480
1259,695153
1669,1545239
474,2129938
1569,1034678
1950,1004539
1108,651717
463,389813
5,20685401
841,1549458
326,512588
1645,6803938
1688,946949
1621,1901605
2097,768077
1464,1537390
892,6264902
1083,220716
13,4531020
1153,940703
694,1157394
387,1217412
523,512817
1862,931845
1922,1999097
1932,983682
1285,2829484
603,1838628
842,1885751
322,909508
1766,1682547
2338,975412
1013,390395
2058,992773
2172,793098
2220,2595890
2403,748485
1680,2053453
554,1224278
1280,4682458
1584,849933
830,3976339
1101,1141812
455,640722
307,176245
72,1762302
257,4190393
1963,1414721
2,1636292
1302,1405909
328,482996
2424,707788
2274,944259
1391,7469445
2315,1593651
929,667985
2249,1059199
2335,1079349
479,430276
1955,4456309
2375,1031716
2324,2198889
909,1055562
1609,3133189
117,3243784
1557,2133100
2367,1259603
2222,1070583
1029,1818344
1234,587181
466,308233
217,2477746
1929,1671043
1642,2500023
445,624544
2113,1225718
1035,1152886
1198,863507
1356,1265177
776,1272294
604,1209663
568,540897
1877,1373382
1681,1877673
2394,967704
1078,142164
1092,197120
1257,1272319
84,1697185
2073,2300106
2182,1400803
2200,1134525
2322,1156126
1211,1356163
755,1847256
2000,1117165
151,1212346
511,480142
1731,1082869
388,1139068
1161,814297
731,539950
172,933311
1742,1112534
530,639995
1782,2183690
765,521502
1479,2436104
735,4908787
1361,955827
689,497710
1618,742510
2004,1468497
2006,1013976
374,630431
1633,1150409
1690,4962607
709,1189754
937,502832
2313,1005076
1184,669088
1074,1129577
1136,166835
7,967741
670,1236817
32,3277740
238,1520108
127,648234
354,2954577
164,1783740
1510,618471
2193,1307557
1958,1607427
