,model_num,optimizer,loss_fn,activation_fn,output_activation_fn,epochs,batch_size,neurons_in_inputlayer,num_hiddenlayer,neurons_in_hiddenlayer,num_dropout_layers,loss,mse_test,mae_test,mape_test,cosine_similarity_test,rmse_test,msle_test,corr,total_runtime
88,86.0,nadam,mse,selu,relu,50.0,10.0,5.0,1.0,10.0,0.0,4521367437312.0,4521367437312.0,1203575.875,67.60372924804688,1.0,2126350.75,2.2989437580108643,0.5289031736657247,0 days 09:08:40.950942
89,87.0,nadam,mse,selu,relu,50.0,10.0,10.0,1.0,1.0,0.0,5467686305792.0,5467686305792.0,1425937.75,83.64141845703125,1.0,2338308.5,5.302299976348877,0.5289031736657247,0 days 09:08:40.950942
90,88.0,nadam,mse,selu,relu,50.0,10.0,10.0,1.0,5.0,0.0,5761353121792.0,5761353121792.0,1486246.625,88.52456665039062,1.0,2400282.0,7.072154521942139,0.5289031736657247,0 days 09:08:40.950942
91,89.0,nadam,mse,selu,relu,50.0,10.0,10.0,1.0,10.0,0.0,4279439458304.0,4279439458304.0,1128076.75,63.287628173828125,1.0,2068680.625,1.73380708694458,0.5289031736657247,0 days 09:08:40.950942
92,90.0,nadam,mse,selu,relu,50.0,32.0,1.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
93,91.0,nadam,mse,selu,relu,50.0,32.0,1.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
94,92.0,nadam,mse,selu,relu,50.0,32.0,1.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
95,93.0,nadam,mse,selu,relu,50.0,32.0,5.0,1.0,1.0,0.0,6484356235264.0,6484356235264.0,1634286.125,99.99899291992188,0.9999999403953552,2546440.0,136.64944458007812,0.5289031736657247,0 days 09:08:40.950942
96,94.0,nadam,mse,selu,relu,50.0,32.0,5.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
97,95.0,nadam,mse,selu,relu,50.0,32.0,5.0,1.0,10.0,0.0,6117948653568.0,6117948653568.0,1562423.75,94.44021606445312,1.0,2473448.75,11.289135932922363,0.5289031736657247,0 days 09:08:40.950942
98,96.0,nadam,mse,selu,relu,50.0,32.0,10.0,1.0,1.0,0.0,6484354138112.0,6484354138112.0,1634285.75,99.99895477294922,1.0,2546439.5,135.66226196289062,0.5289031736657247,0 days 09:08:40.950942
99,97.0,nadam,mse,selu,relu,50.0,32.0,10.0,1.0,5.0,0.0,6291099484160.0,6291099484160.0,1597194.125,97.13363647460938,1.0,2508206.5,16.068693161010742,0.5289031736657247,0 days 09:08:40.950942
100,98.0,nadam,mse,selu,relu,50.0,32.0,10.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
101,99.0,nadam,mse,selu,relu,50.0,100.0,1.0,1.0,1.0,0.0,6474155687936.0,6474155687936.0,1632376.375,99.85220336914062,1.0,2544436.25,48.19486618041992,0.5289031736657247,0 days 09:08:40.950942
102,100.0,nadam,mse,selu,relu,50.0,100.0,1.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
103,101.0,nadam,mse,selu,relu,50.0,100.0,1.0,1.0,10.0,0.0,6461843308544.0,6461843308544.0,1630053.625,99.67263793945312,1.0,2542015.5,37.80961608886719,0.5289031736657247,0 days 09:08:40.950942
104,102.0,nadam,mse,selu,relu,50.0,100.0,5.0,1.0,1.0,0.0,6484369866752.0,6484369866752.0,1634290.5,99.99948120117188,1.0,2546442.5,150.4353485107422,0.5289031736657247,0 days 09:08:40.950942
105,103.0,nadam,mse,selu,relu,50.0,100.0,5.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
106,104.0,nadam,mse,selu,relu,50.0,100.0,5.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
107,105.0,nadam,mse,selu,relu,50.0,100.0,10.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
108,106.0,nadam,mse,selu,relu,50.0,100.0,10.0,1.0,5.0,0.0,6393744588800.0,6393744588800.0,1617092.75,98.67062377929688,1.0,2528585.5,22.67299461364746,0.5289031736657247,0 days 09:08:40.950942
109,107.0,nadam,mse,selu,relu,50.0,100.0,10.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
110,108.0,nadam,mse,selu,relu,100.0,1.0,1.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
111,109.0,nadam,mse,selu,relu,100.0,1.0,1.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
112,110.0,nadam,mse,selu,relu,100.0,1.0,1.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
113,111.0,nadam,mse,selu,relu,100.0,1.0,5.0,1.0,1.0,0.0,6483374768128.0,6483374768128.0,1633986.0,99.96601867675781,0.9999999403953552,2546247.25,68.49662017822266,0.5289031736657247,0 days 09:08:40.950942
114,112.0,nadam,mse,selu,relu,100.0,1.0,5.0,1.0,5.0,0.0,4495736045568.0,4495736045568.0,1012175.125,63.77571487426758,1.0,2120315.0,0.7755427360534668,0.5289031736657247,0 days 09:08:40.950942
115,113.0,nadam,mse,selu,relu,100.0,1.0,5.0,1.0,10.0,0.0,4535521640448.0,4535521640448.0,1010304.75,64.18096160888672,1.0,2129676.5,0.7397443652153015,0.5289031736657247,0 days 09:08:40.950942
116,114.0,nadam,mse,selu,relu,100.0,1.0,10.0,1.0,1.0,0.0,6483367428096.0,6483367428096.0,1633983.75,99.96577453613281,1.0,2546245.75,68.37862396240234,0.5289031736657247,0 days 09:08:40.950942
117,115.0,nadam,mse,selu,relu,100.0,1.0,10.0,1.0,5.0,0.0,4524763250688.0,4524763250688.0,1010791.6875,64.06865692138672,1.0,2127149.0,0.7491416335105896,0.5289031736657247,0 days 09:08:40.950942
118,116.0,nadam,mse,selu,relu,100.0,1.0,10.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
119,117.0,nadam,mse,selu,relu,100.0,10.0,1.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
120,118.0,nadam,mse,selu,relu,100.0,10.0,1.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
