,model_num,optimizer,loss_fn,activation_fn,output_activation_fn,epochs,batch_size,neurons_in_inputlayer,num_hiddenlayer,neurons_in_hiddenlayer,num_dropout_layers,loss,mse_test,mae_test,mape_test,cosine_similarity_test,rmse_test,msle_test,corr
88,88.0,adam,mse,relu,relu,10.0,10.0,4.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
89,89.0,adam,mse,relu,relu,10.0,10.0,4.0,1.0,2.0,0.0,6480303489024.0,6480303489024.0,1633526.375,99.94046020507812,1.0,2545644.0,61.28889846801758,0.5289031736657247
90,90.0,adam,mse,relu,relu,10.0,10.0,4.0,1.0,4.0,0.0,6477815742464.0,6477815742464.0,1633056.375,99.90397644042969,1.0,2545155.25,54.06378936767578,0.5289031736657247
91,91.0,adam,mse,relu,relu,10.0,10.0,4.0,1.0,10.0,0.0,6473586835456.0,6473586835456.0,1632265.875,99.84341430664062,1.0,2544324.5,47.329193115234375,0.5289031736657247
92,92.0,adam,mse,relu,relu,10.0,10.0,10.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
93,93.0,adam,mse,relu,relu,10.0,10.0,10.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
94,94.0,adam,mse,relu,relu,10.0,10.0,10.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
95,95.0,adam,mse,relu,relu,10.0,10.0,10.0,1.0,10.0,0.0,6463592857600.0,6463592857600.0,1630379.875,99.69751739501953,1.0,2542359.75,38.74211120605469,0.5289031736657247
96,96.0,adam,mse,relu,relu,10.0,32.0,1.0,1.0,1.0,0.0,6481636753408.0,6481636753408.0,1633779.75,99.96025848388672,1.0,2545906.0,67.91214752197266,0.5289031736657247
97,97.0,adam,mse,relu,relu,10.0,32.0,1.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
